Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death,,,Tîm,Safle ar y tîm,Gwlad Dinasyddiaeth,Enw a Roddir,Enw Teulu ,Dyddiad Geni,Dyddiad Marwolaeth,Rhyw,Man Geni,Man Marwolaeth
York City Knights,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,13/10/1912,06/05/1973,male,Neath,York,,,York City Knights,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Dai,Prosser,13/10/1912,06/05/1973,gwryw,Castell Nedd,Efrog
Wales national rugby league team,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,13/10/1912,06/05/1973,male,Neath,York,,,Tîm rygbi cynghrair cenedlaethol Cymru,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Dai,Prosser,13/10/1912,06/05/1973,gwryw,Castell Nedd,Efrog
Neath RFC,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,13/10/1912,06/05/1973,male,Neath,York,,,Clwb Rygbi Castell-nedd,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Dai,Prosser,13/10/1912,06/05/1973,gwryw,Castell Nedd,Efrog
Leeds Rhinos,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,13/10/1912,06/05/1973,male,Neath,York,,,Leeds Rhinos,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Dai,Prosser,13/10/1912,06/05/1973,gwryw,Castell Nedd,Efrog
Swansea RFC,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,13/10/1912,06/05/1973,male,Neath,York,,,Clwb Rygbi Abertawe ,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Dai,Prosser,13/10/1912,06/05/1973,gwryw,Castell Nedd,Efrog
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,13/10/1912,06/05/1973,male,Neath,York,,,Tîm undeb rygbi cenedlaethol Cymru,prop,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Dai,Prosser,13/10/1912,06/05/1973,gwryw,Castell Nedd,Efrog
Cross Keys RFC,,Wales,,,23/09/1964,,male,Abercarn,,,,Clwb Rygbi Cross Keys ,,Cymru,,,23/09/1964,,gwryw,Abercarn,
Swansea RFC,,Wales,,,23/09/1964,,male,Abercarn,,,,Clwb Rygbi Abertawe ,,Cymru,,,23/09/1964,,gwryw,Abercarn,
Wales national rugby league team,,Wales,Damien,,05/02/1981,,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Damien,,05/02/1981,,gwryw,Cymru,
Llanelli RFC,,Wales,Dan,George,10/08/1986,,male,Wales,,,,Clwb Rygbi Llanelli,,Cymru,Dan,George,10/08/1986,,gwryw,Cymru,
Scarlets,,Wales,Dan,George,10/08/1986,,male,Wales,,,,Y Sgarlets,,Cymru,Dan,George,10/08/1986,,gwryw,Cymru,
Wales national under-20 rugby union team,prop,Wales,Dan,Thomas,11/10/1993,,male,Carmarthen,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,prop,Cymru,Dan,Thomas,11/10/1993,,gwryw,Caerfyrddin,
Scarlets,prop,Wales,Dan,Thomas,11/10/1993,,male,Carmarthen,,,,Y Sgarlets,prop,Cymru,Dan,Thomas,11/10/1993,,gwryw,Caerfyrddin,
Dragons,fly-half,Wales,Daniel,Griffiths,01/02/1979,,male,Carmarthen,,,,Y Dreigiau,maswr,Cymru,Daniel,Griffiths,01/02/1979,,gwryw,Caerfyrddin,
Neath RFC,flanker,Wales,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Clwb Rygbi Castell-nedd,blaenasgellwr,Cymru,Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Leeds Rhinos,flanker,Wales,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Leeds Rhinos,blaenasgellwr,Cymru,Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Wales national rugby union team,flanker,Wales,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Cymru,Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Neath RFC,flanker,United Kingdom,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Clwb Rygbi Castell-nedd,blaenasgellwr,Y Deyrnas Unedig,Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Leeds Rhinos,flanker,United Kingdom,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Leeds Rhinos,blaenasgellwr,Y Deyrnas Unedig,Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Wales national rugby union team,flanker,United Kingdom,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Y Deyrnas Unedig,Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Neath RFC,flanker,United Kingdom of Great Britain and Ireland,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Clwb Rygbi Castell-nedd,blaenasgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Leeds Rhinos,flanker,United Kingdom of Great Britain and Ireland,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Leeds Rhinos,blaenasgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Daniel,,07/07/1900,19/05/1971,male,Llanharan,Leeds,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,"Teyrnas Unedig Prydain Fawr ac Iwerddon
",Daniel,,07/07/1900,19/05/1971,gwryw,Llanharan,Leeds
Leigh Centurions,lock,Wales,Danny,Harris,27/05/1937,,male,Penygraig,,,,Leigh Centurions,clo,Cymru,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Cardiff RFC,lock,Wales,Danny,Harris,27/05/1937,,male,Penygraig,,,,Clwb Rygbi Caerdydd ,clo,Cymru,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Wales national rugby union team,lock,Wales,Danny,Harris,27/05/1937,,male,Penygraig,,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Cymru,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Pontypridd RFC,lock,Wales,Danny,Harris,27/05/1937,,male,Penygraig,,,,Clwb Rygbi Pontypridd ,clo,Cymru,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Leigh Centurions,lock,United Kingdom,Danny,Harris,27/05/1937,,male,Penygraig,,,,Leigh Centurions,clo,Y Deyrnas Unedig,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Cardiff RFC,lock,United Kingdom,Danny,Harris,27/05/1937,,male,Penygraig,,,,Clwb Rygbi Caerdydd ,clo,Y Deyrnas Unedig,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Wales national rugby union team,lock,United Kingdom,Danny,Harris,27/05/1937,,male,Penygraig,,,,Tîm undeb rygbi cenedlaethol Cymru,clo,Y Deyrnas Unedig,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Pontypridd RFC,lock,United Kingdom,Danny,Harris,27/05/1937,,male,Penygraig,,,,Clwb Rygbi Pontypridd ,clo,Y Deyrnas Unedig,Danny,Harris,27/05/1937,,gwryw,Penygraig,
Liverpool Stanley,fly-half,Wales,Danny,Wilson,01/01/1955,,male,Wales,,,,Stanley Lerpwl,maswr,Cymru,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Blackpool Borough,fly-half,Wales,Danny,Wilson,01/01/1955,,male,Wales,,,,Bwrdeistref Blackpool,maswr,Cymru,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Widnes Vikings,fly-half,Wales,Danny,Wilson,01/01/1955,,male,Wales,,,,Widnes Vikings,maswr,Cymru,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Swinton Lions,fly-half,Wales,Danny,Wilson,01/01/1955,,male,Wales,,,,Swinton Lions,maswr,Cymru,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Wales national rugby league team,fly-half,Wales,Danny,Wilson,01/01/1955,,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Cymru,maswr,Cymru,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Liverpool Stanley,fly-half,United Kingdom,Danny,Wilson,01/01/1955,,male,Wales,,,,Stanley Lerpwl,maswr,Y Deyrnas Unedig,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Blackpool Borough,fly-half,United Kingdom,Danny,Wilson,01/01/1955,,male,Wales,,,,Bwrdeistref Blackpool,maswr,Y Deyrnas Unedig,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Widnes Vikings,fly-half,United Kingdom,Danny,Wilson,01/01/1955,,male,Wales,,,,Widnes Vikings,maswr,Y Deyrnas Unedig,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Swinton Lions,fly-half,United Kingdom,Danny,Wilson,01/01/1955,,male,Wales,,,,Swinton Lions,maswr,Y Deyrnas Unedig,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Wales national rugby league team,fly-half,United Kingdom,Danny,Wilson,01/01/1955,,male,Wales,,,,Tîm rygbi cynghrair cenedlaethol Cymru,maswr,Y Deyrnas Unedig,Danny,Wilson,01/01/1955,,gwryw,Cymru,
Ospreys,,Wales,Richard,,12/04/1984,,male,Bedlinog,,,,y Gweilch,,Cymru,Richard,,12/04/1984,,gwryw,Bedlinog,
Pontypridd RFC,,Wales,Richard,,12/04/1984,,male,Bedlinog,,,,Clwb Rygbi Pontypridd ,,Cymru,Richard,,12/04/1984,,gwryw,Bedlinog,
Dragons,,Wales,Richard,,12/04/1984,,male,Bedlinog,,,,Y Dreigiau,,Cymru,Richard,,12/04/1984,,gwryw,Bedlinog,
Wales national rugby union team (sevens),,Wales,Richard,Mustoe,09/12/1981,,male,Bridgend,,,,Tîm rygbi undeb cenedlaethol Cymru (saith bob ochr),,Cymru,Richard,Mustoe,09/12/1981,,gwryw,Pen-y-bont ar Ogwr,
Ospreys,,Wales,Richard,Mustoe,09/12/1981,,male,Bridgend,,,,y Gweilch,,Cymru,Richard,Mustoe,09/12/1981,,gwryw,Pen-y-bont ar Ogwr,
Dragons,,Wales,Richard,Mustoe,09/12/1981,,male,Bridgend,,,,Y Dreigiau,,Cymru,Richard,Mustoe,09/12/1981,,gwryw,Pen-y-bont ar Ogwr,
Wales national rugby union team (sevens),,United Kingdom,Richard,Mustoe,09/12/1981,,male,Bridgend,,,,Tîm rygbi undeb cenedlaethol Cymru (saith bob ochr),,Y Deyrnas Unedig,Richard,Mustoe,09/12/1981,,gwryw,Pen-y-bont ar Ogwr,
Ospreys,,United Kingdom,Richard,Mustoe,09/12/1981,,male,Bridgend,,,,y Gweilch,,Y Deyrnas Unedig,Richard,Mustoe,09/12/1981,,gwryw,Pen-y-bont ar Ogwr,
Dragons,,United Kingdom,Richard,Mustoe,09/12/1981,,male,Bridgend,,,,Y Dreigiau,,Y Deyrnas Unedig,Richard,Mustoe,09/12/1981,,gwryw,Pen-y-bont ar Ogwr,
Cardiff RFC,scrum-half,Wales,Richard,Smith,06/06/1973,,male,Pontypool,,,,Clwb Rygbi Caerdydd ,mewnwr,Cymru,Richard,Smith,06/06/1973,,gwryw,Pontypool,
Wales national rugby union team,scrum-half,Wales,Richard,Smith,06/06/1973,,male,Pontypool,,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,Cymru,Richard,Smith,06/06/1973,,gwryw,Pontypool,
Cardiff RFC,scrum-half,United Kingdom,Richard,Smith,06/06/1973,,male,Pontypool,,,,Clwb Rygbi Caerdydd ,mewnwr,Y Deyrnas Unedig,Richard,Smith,06/06/1973,,gwryw,Pontypool,
Wales national rugby union team,scrum-half,United Kingdom,Richard,Smith,06/06/1973,,male,Pontypool,,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,Y Deyrnas Unedig,Richard,Smith,06/06/1973,,gwryw,Pontypool,
Wales national under-20 rugby union team,number 8,Wales,Richie,Pugh,10/08/1983,,male,Swansea,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,rhif 8,Cymru,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Wales national under-18 rugby union team,number 8,Wales,Richie,Pugh,10/08/1983,,male,Swansea,,,,Tîm rygbi undeb dan-18 cenedlaethol Cymru,rhif 8,Cymru,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Ospreys,number 8,Wales,Richie,Pugh,10/08/1983,,male,Swansea,,,,y Gweilch,rhif 8,Cymru,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Wales national rugby union team,number 8,Wales,Richie,Pugh,10/08/1983,,male,Swansea,,,,Tîm undeb rygbi cenedlaethol Cymru,rhif 8,Cymru,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Scarlets,number 8,Wales,Richie,Pugh,10/08/1983,,male,Swansea,,,,Y Sgarlets,rhif 8,Cymru,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Wales national under-20 rugby union team,number 8,United Kingdom,Richie,Pugh,10/08/1983,,male,Swansea,,,,Tîm rygbi undeb cenedlaethol dan-20 Cymru,rhif 8,Y Deyrnas Unedig,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Wales national under-18 rugby union team,number 8,United Kingdom,Richie,Pugh,10/08/1983,,male,Swansea,,,,Tîm rygbi undeb dan-18 cenedlaethol Cymru,rhif 8,Y Deyrnas Unedig,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Ospreys,number 8,United Kingdom,Richie,Pugh,10/08/1983,,male,Swansea,,,,y Gweilch,rhif 8,Y Deyrnas Unedig,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Wales national rugby union team,number 8,United Kingdom,Richie,Pugh,10/08/1983,,male,Swansea,,,,Tîm undeb rygbi cenedlaethol Cymru,rhif 8,Y Deyrnas Unedig,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Scarlets,number 8,United Kingdom,Richie,Pugh,10/08/1983,,male,Swansea,,,,Y Sgarlets,rhif 8,Y Deyrnas Unedig,Richie,Pugh,10/08/1983,,gwryw,Abertawe,
Llanelli RFC,prop,Wales,Ricky,Evans,23/06/1960,,male,Aberporth,,,,Clwb Rygbi Llanelli,prop,Cymru,Ricky,Evans,23/06/1960,,gwryw,Aberporth,
Wales national rugby union team,prop,Wales,Ricky,Evans,23/06/1960,,male,Aberporth,,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Cymru,Ricky,Evans,23/06/1960,,gwryw,Aberporth,
Llanelli RFC,prop,United Kingdom,Ricky,Evans,23/06/1960,,male,Aberporth,,,,Clwb Rygbi Llanelli,prop,Y Deyrnas Unedig,Ricky,Evans,23/06/1960,,gwryw,Aberporth,
Wales national rugby union team,prop,United Kingdom,Ricky,Evans,23/06/1960,,male,Aberporth,,,,Tîm undeb rygbi cenedlaethol Cymru,prop,Y Deyrnas Unedig,Ricky,Evans,23/06/1960,,gwryw,Aberporth,
Cardiff RFC,flanker,Wales,Rob,,09/12/1972,,male,Haverfordwest,,,,Clwb Rygbi Caerdydd ,blaenasgellwr,Cymru,Rob,,09/12/1972,,gwryw,Hwlffordd,
Swansea RFC,flanker,Wales,Rob,,09/12/1972,,male,Haverfordwest,,,,Clwb Rygbi Abertawe ,blaenasgellwr,Cymru,Rob,,09/12/1972,,gwryw,Hwlffordd,
Wales national rugby union team,flanker,Wales,Rob,,09/12/1972,,male,Haverfordwest,,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Cymru,Rob,,09/12/1972,,gwryw,Hwlffordd,
Barbarians,flanker,Wales,Rob,,09/12/1972,,male,Haverfordwest,,,,Barbariaid,blaenasgellwr,Cymru,Rob,,09/12/1972,,gwryw,Hwlffordd,
Cardiff RFC,flanker,United Kingdom,Rob,,09/12/1972,,male,Haverfordwest,,,,Clwb Rygbi Caerdydd ,blaenasgellwr,Y Deyrnas Unedig,Rob,,09/12/1972,,gwryw,Hwlffordd,
Swansea RFC,flanker,United Kingdom,Rob,,09/12/1972,,male,Haverfordwest,,,,Clwb Rygbi Abertawe ,blaenasgellwr,Y Deyrnas Unedig,Rob,,09/12/1972,,gwryw,Hwlffordd,
Wales national rugby union team,flanker,United Kingdom,Rob,,09/12/1972,,male,Haverfordwest,,,,Tîm undeb rygbi cenedlaethol Cymru,blaenasgellwr,Y Deyrnas Unedig,Rob,,09/12/1972,,gwryw,Hwlffordd,
Barbarians,flanker,United Kingdom,Rob,,09/12/1972,,male,Haverfordwest,,,,Barbariaid,blaenasgellwr,Y Deyrnas Unedig,Rob,,09/12/1972,,gwryw,Hwlffordd,
London Welsh RFC,,Wales,Robert,Lewis,20/11/1987,,male,Abergavenny,,,,Clwb Rygbi Cymry Llundain,,Cymru,Robert,Lewis,20/11/1987,,gwryw,Fenni,
Dragons,,Wales,Robert,Lewis,20/11/1987,,male,Abergavenny,,,,Y Dreigiau,,Cymru,Robert,Lewis,20/11/1987,,gwryw,Fenni,
Wales national rugby league team,number 8,Wales,Robert,,16/11/1943,,male,Port Talbot,,,,Tîm rygbi cynghrair cenedlaethol Cymru,rhif 8,Cymru,Robert,,16/11/1943,,gwryw,Port Talbot,
Warrington Wolves,number 8,Wales,Robert,,16/11/1943,,male,Port Talbot,,,,Warrington Wolves,rhif 8,Cymru,Robert,,16/11/1943,,gwryw,Port Talbot,
St Helens RLFC,number 8,Wales,Robert,,16/11/1943,,male,Port Talbot,,,,St Helens RLFC,rhif 8,Cymru,Robert,,16/11/1943,,gwryw,Port Talbot,
Wales national rugby union team,number 8,Wales,Robert,,16/11/1943,,male,Port Talbot,,,,Tîm undeb rygbi cenedlaethol Cymru,rhif 8,Cymru,Robert,,16/11/1943,,gwryw,Port Talbot,
Aberavon RFC,number 8,Wales,Robert,,16/11/1943,,male,Port Talbot,,,,Clwb Rygbi Aberafon,rhif 8,Cymru,Robert,,16/11/1943,,gwryw,Port Talbot,
Wales national rugby league team,number 8,United Kingdom,Robert,,16/11/1943,,male,Port Talbot,,,,Tîm rygbi cynghrair cenedlaethol Cymru,rhif 8,Y Deyrnas Unedig,Robert,,16/11/1943,,gwryw,Port Talbot,
Warrington Wolves,number 8,United Kingdom,Robert,,16/11/1943,,male,Port Talbot,,,,Warrington Wolves,rhif 8,Y Deyrnas Unedig,Robert,,16/11/1943,,gwryw,Port Talbot,
St Helens RLFC,number 8,United Kingdom,Robert,,16/11/1943,,male,Port Talbot,,,,St Helens RLFC,rhif 8,Y Deyrnas Unedig,Robert,,16/11/1943,,gwryw,Port Talbot,
Wales national rugby union team,number 8,United Kingdom,Robert,,16/11/1943,,male,Port Talbot,,,,Tîm undeb rygbi cenedlaethol Cymru,rhif 8,Y Deyrnas Unedig,Robert,,16/11/1943,,gwryw,Port Talbot,
Aberavon RFC,number 8,United Kingdom,Robert,,16/11/1943,,male,Port Talbot,,,,Clwb Rygbi Aberafon,rhif 8,Y Deyrnas Unedig,Robert,,16/11/1943,,gwryw,Port Talbot,
Pontypool RFC,,Wales,Roger,,01/01/1945,01/03/2010,male,Wales,,,,Clwb Rygbi Pontyp?l,,Cymru,Roger,,01/01/1945,01/03/2010,gwryw,Cymru,
Halifax RLFC,fullback,Wales,Ronald,James,,,male,Wales,,,,Halifax RLFC,cefnwr,Cymru,Ronald,James,,,gwryw,Cymru,
Maesteg RFC,fullback,Wales,Ronald,James,,,male,Wales,,,,Clwb Rygbi Maesteg ,cefnwr,Cymru,Ronald,James,,,gwryw,Cymru,
Bridgend Ravens,,Wales,Rory,Pitman,06/10/1989,,male,Bridgend,,,,Cigfrain Pen-y-bont,,Cymru,Rory,Pitman,06/10/1989,,gwryw,Pen-y-bont ar Ogwr,
Wales national rugby union team,scrum-half,Wales,Jonathan,Griffiths,05/03/1972,,male,Carmarthen,,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,Cymru,Jonathan,Griffiths,05/03/1972,,gwryw,Caerfyrddin,
Great Britain national rugby league team,scrum-half,United Kingdom,Jonathan,Griffiths,05/03/1972,,male,Carmarthen,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,mewnwr,Y Deyrnas Unedig,Jonathan,Griffiths,05/03/1972,,gwryw,Caerfyrddin,
Wales national rugby league team,scrum-half,United Kingdom,Jonathan,Griffiths,05/03/1972,,male,Carmarthen,,,,Tîm rygbi cynghrair cenedlaethol Cymru,mewnwr,Y Deyrnas Unedig,Jonathan,Griffiths,05/03/1972,,gwryw,Caerfyrddin,
Llanelli RFC,scrum-half,United Kingdom,Jonathan,Griffiths,05/03/1972,,male,Carmarthen,,,,Clwb Rygbi Llanelli,mewnwr,Y Deyrnas Unedig,Jonathan,Griffiths,05/03/1972,,gwryw,Caerfyrddin,
St Helens RLFC,scrum-half,United Kingdom,Jonathan,Griffiths,05/03/1972,,male,Carmarthen,,,,St Helens RLFC,mewnwr,Y Deyrnas Unedig,Jonathan,Griffiths,05/03/1972,,gwryw,Caerfyrddin,
Wales national rugby union team,scrum-half,United Kingdom,Jonathan,Griffiths,05/03/1972,,male,Carmarthen,,,,Tîm undeb rygbi cenedlaethol Cymru,mewnwr,Y Deyrnas Unedig,Jonathan,Griffiths,05/03/1972,,gwryw,Caerfyrddin,
Ospreys,,Wales,Jonny,Vaughton,21/01/1982,,male,Wales,,,,y Gweilch,,Cymru,Jonny,Vaughton,21/01/1982,,gwryw,Cymru,
Blackheath F.C.,,Wales,Joseph,,1879-07-21,28/08/1965,male,Abergavenny,,,,Clwb Pêl-droed Blackheath,,Cymru,Joseph,,1879-07-21,28/08/1965,gwryw,Fenni,
Barbarians,,Wales,Joseph,,1879-07-21,28/08/1965,male,Abergavenny,,,,Barbariaid,,Cymru,Joseph,,1879-07-21,28/08/1965,gwryw,Fenni,
South Africa national rugby union team,,Wales,Joseph,,1879-07-21,28/08/1965,male,Abergavenny,,,,Tîm rygbi undeb cenedlaethol De Affrica ,,Cymru,Joseph,,1879-07-21,28/08/1965,gwryw,Fenni,
Blackheath F.C.,,South Africa,Joseph,,1879-07-21,28/08/1965,male,Abergavenny,,,,Clwb Pêl-droed Blackheath,,De Affrica,Joseph,,1879-07-21,28/08/1965,gwryw,Fenni,
Barbarians,,South Africa,Joseph,,1879-07-21,28/08/1965,male,Abergavenny,,,,Barbariaid,,De Affrica,Joseph,,1879-07-21,28/08/1965,gwryw,Fenni,
South Africa national rugby union team,,South Africa,Joseph,,1879-07-21,28/08/1965,male,Abergavenny,,,,Tîm rygbi undeb cenedlaethol De Affrica ,,De Affrica,Joseph,,1879-07-21,28/08/1965,gwryw,Fenni,
Wales national rugby league team,flanker,Wales,Karl,,09/06/1975,,male,Bridgend,,,,Tîm rygbi cynghrair cenedlaethol Cymru,blaenasgellwr,Cymru,Karl,,09/06/1975,,gwryw,Pen-y-bont ar Ogwr,
Pontypridd RFC,,Wales,,Jenkins,17/02/1987,,male,Rhondda,,,,Clwb Rygbi Pontypridd ,,Cymru,,Jenkins,17/02/1987,,gwryw,Rhondda,
Dragons,,Wales,,Jenkins,17/02/1987,,male,Rhondda,,,,Y Dreigiau,,Cymru,,Jenkins,17/02/1987,,gwryw,Rhondda,
Salford Red Devils,fly-half,Wales,Ken,Richards,29/01/1934,08/01/1972,male,Bridgend,Bridgend,,,Salford Red Devils,maswr,Cymru,Ken,Richards,29/01/1934,08/01/1972,gwryw,Pen-y-bont ar Ogwr,Penybont
Wales national rugby union team,fly-half,Wales,Ken,Richards,29/01/1934,08/01/1972,male,Bridgend,Bridgend,,,Tîm undeb rygbi cenedlaethol Cymru,maswr,Cymru,Ken,Richards,29/01/1934,08/01/1972,gwryw,Pen-y-bont ar Ogwr,Penybont
Salford Red Devils,fly-half,United Kingdom,Ken,Richards,29/01/1934,08/01/1972,male,Bridgend,Bridgend,,,Salford Red Devils,maswr,Y Deyrnas Unedig,Ken,Richards,29/01/1934,08/01/1972,gwryw,Pen-y-bont ar Ogwr,Penybont
Wales national rugby union team,fly-half,United Kingdom,Ken,Richards,29/01/1934,08/01/1972,male,Bridgend,Bridgend,,,Tîm undeb rygbi cenedlaethol Cymru,maswr,Y Deyrnas Unedig,Ken,Richards,29/01/1934,08/01/1972,gwryw,Pen-y-bont ar Ogwr,Penybont
Great Britain national rugby league team,winger,Wales,,Jones,24/11/1969,,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,asgellwr,Cymru,,Jones,24/11/1969,,gwryw,Castell Nedd,
Neath RFC,winger,Wales,,Jones,24/11/1969,,male,Neath,,,,Clwb Rygbi Castell-nedd,asgellwr,Cymru,,Jones,24/11/1969,,gwryw,Castell Nedd,
Wigan Warriors,winger,Wales,,Jones,24/11/1969,,male,Neath,,,,Wigan Warriors,asgellwr,Cymru,,Jones,24/11/1969,,gwryw,Castell Nedd,
Cardiff RFC,winger,Wales,,Jones,24/11/1969,,male,Neath,,,,Clwb Rygbi Caerdydd ,asgellwr,Cymru,,Jones,24/11/1969,,gwryw,Castell Nedd,
Wales national rugby union team,winger,Wales,,Jones,24/11/1969,,male,Neath,,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,Cymru,,Jones,24/11/1969,,gwryw,Castell Nedd,
Barbarians,winger,Wales,,Jones,24/11/1969,,male,Neath,,,,Barbariaid,asgellwr,Cymru,,Jones,24/11/1969,,gwryw,Castell Nedd,
Great Britain national rugby league team,winger,United Kingdom,,Jones,24/11/1969,,male,Neath,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,asgellwr,Y Deyrnas Unedig,,Jones,24/11/1969,,gwryw,Castell Nedd,
Neath RFC,winger,United Kingdom,,Jones,24/11/1969,,male,Neath,,,,Clwb Rygbi Castell-nedd,asgellwr,Y Deyrnas Unedig,,Jones,24/11/1969,,gwryw,Castell Nedd,
Wigan Warriors,winger,United Kingdom,,Jones,24/11/1969,,male,Neath,,,,Wigan Warriors,asgellwr,Y Deyrnas Unedig,,Jones,24/11/1969,,gwryw,Castell Nedd,
Cardiff RFC,winger,United Kingdom,,Jones,24/11/1969,,male,Neath,,,,Clwb Rygbi Caerdydd ,asgellwr,Y Deyrnas Unedig,,Jones,24/11/1969,,gwryw,Castell Nedd,
Wales national rugby union team,winger,United Kingdom,,Jones,24/11/1969,,male,Neath,,,,Tîm undeb rygbi cenedlaethol Cymru,asgellwr,Y Deyrnas Unedig,,Jones,24/11/1969,,gwryw,Castell Nedd,
Barbarians,winger,United Kingdom,,Jones,24/11/1969,,male,Neath,,,,Barbariaid,asgellwr,Y Deyrnas Unedig,,Jones,24/11/1969,,gwryw,Castell Nedd,
Workington Town,,Wales,Kevin,Ellis,29/05/1965,,male,Bridgend,,,,Workington Town,,Cymru,Kevin,Ellis,29/05/1965,,gwryw,Pen-y-bont ar Ogwr,
Treorchy RFC,,Wales,Kevin,Ellis,29/05/1965,,male,Bridgend,,,,Clwb Rygbi Treorci,,Cymru,Kevin,Ellis,29/05/1965,,gwryw,Pen-y-bont ar Ogwr,
Great Britain national rugby league team,,Wales,Kevin,Ellis,29/05/1965,,male,Bridgend,,,,Tîm rygbi cynghrair cenedlaethol Prydain Fawr,,Cymru,Kevin,Ellis,29/05/1965,,gwryw,Pen-y-bont ar Ogwr,
Wales national rugby league team,,Wales,Kevin,Ellis,29/05/1965,,male,Bridgend,,,,Tîm rygbi cynghrair cenedlaethol Cymru,,Cymru,Kevin,Ellis,29/05/1965,,gwryw,Pen-y-bont ar Ogwr,
