Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
Wales national rugby union team,,Wales,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
London Welsh RFC,,United Kingdom,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
Cardiff RFC,,United Kingdom,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
Wales national rugby union team,,United Kingdom,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
London Welsh RFC,,United Kingdom of Great Britain and Ireland,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
Cardiff RFC,,United Kingdom of Great Britain and Ireland,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Jack,Powell,1882-09-14,1941-03-20,male,Merthyr Tydfil,Cardiff
Salford Red Devils,,Wales,Jack,,1876-07-15,1950-01-23,male,Aberaman,Stretford
Wales national rugby union team,,Wales,Jack,,1876-07-15,1950-01-23,male,Aberaman,Stretford
Salford Red Devils,,United Kingdom,Jack,,1876-07-15,1950-01-23,male,Aberaman,Stretford
Wales national rugby union team,,United Kingdom,Jack,,1876-07-15,1950-01-23,male,Aberaman,Stretford
Salford Red Devils,,United Kingdom of Great Britain and Ireland,Jack,,1876-07-15,1950-01-23,male,Aberaman,Stretford
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Jack,,1876-07-15,1950-01-23,male,Aberaman,Stretford
Ospreys,flanker,Wales,James,Bater,1980-01-07,,male,Bridgend,
Swansea RFC,flanker,Wales,James,Bater,1980-01-07,,male,Bridgend,
Wales national rugby union team,flanker,Wales,James,Bater,1980-01-07,,male,Bridgend,
Scarlets,flanker,Wales,James,Bater,1980-01-07,,male,Bridgend,
Ospreys,flanker,United Kingdom,James,Bater,1980-01-07,,male,Bridgend,
Swansea RFC,flanker,United Kingdom,James,Bater,1980-01-07,,male,Bridgend,
Wales national rugby union team,flanker,United Kingdom,James,Bater,1980-01-07,,male,Bridgend,
Scarlets,flanker,United Kingdom,James,Bater,1980-01-07,,male,Bridgend,
Ospreys,,Wales,James,Goode,1982-09-05,,male,Cardiff,
Dragons,,Wales,James,Leadbeater,1989-01-04,,male,Panteg,
Wales national under-20 rugby union team,centre,Wales,James,Lewis,1987-11-20,,male,Abergavenny,
Wales national under-18 rugby union team,centre,Wales,James,Lewis,1987-11-20,,male,Abergavenny,
Coventry R.F.C.,centre,Wales,James,Lewis,1987-11-20,,male,Abergavenny,
London Welsh RFC,centre,Wales,James,Lewis,1987-11-20,,male,Abergavenny,
Sale Sharks,centre,Wales,James,Lewis,1987-11-20,,male,Abergavenny,
Dragons,centre,Wales,James,Lewis,1987-11-20,,male,Abergavenny,
Wales national rugby league team,hooker,Wales,James,Regan,,,male,Wales,
Huddersfield Giants,hooker,Wales,James,Regan,,,male,Wales,
Cardiff RFC,hooker,Wales,James,Regan,,,male,Wales,
Wales national under-20 rugby union team,,Wales,James,Thomas,1990-08-07,,male,Newport,
Dragons,,Wales,James,Thomas,1990-08-07,,male,Newport,
Penarth RFC,flanker,Wales,Jamie,Ringer,1976-01-18,,male,Cardiff,
Neath RFC,flanker,Wales,Jamie,Ringer,1976-01-18,,male,Cardiff,
Cardiff RFC,flanker,Wales,Jamie,Ringer,1976-01-18,,male,Cardiff,
Wales national rugby union team,flanker,Wales,Jamie,Ringer,1976-01-18,,male,Cardiff,
Dragons,flanker,Wales,Jamie,Ringer,1976-01-18,,male,Cardiff,
Penarth RFC,flanker,United Kingdom,Jamie,Ringer,1976-01-18,,male,Cardiff,
Neath RFC,flanker,United Kingdom,Jamie,Ringer,1976-01-18,,male,Cardiff,
Cardiff RFC,flanker,United Kingdom,Jamie,Ringer,1976-01-18,,male,Cardiff,
Wales national rugby union team,flanker,United Kingdom,Jamie,Ringer,1976-01-18,,male,Cardiff,
Dragons,flanker,United Kingdom,Jamie,Ringer,1976-01-18,,male,Cardiff,
Birmingham & Solihull R.F.C.,,Wales,Jason,,1973-10-08,,male,Tredegar,
Leeds Carnegie RFC,,Wales,Jason,,1973-10-08,,male,Tredegar,
Bristol Bears,,Wales,Jason,,1973-10-08,,male,Tredegar,
Rotherham R.U.F.C.,,Wales,Jason,,1973-10-08,,male,Tredegar,
Pontypridd RFC,,Wales,Jason,,1973-10-08,,male,Tredegar,
Wales national under-20 rugby union team,,Wales,Jason,,1989-04-28,,male,Newport,
Cross Keys RFC,,Wales,Jason,,1989-04-28,,male,Newport,
Dragons,,Wales,Jason,,1989-04-28,,male,Newport,
Cardiff RFC,,Wales,,Evans,1867-01-01,1942-10-14,male,Cardiff,Griffithstown
Wales national rugby union team,,Wales,,Evans,1867-01-01,1942-10-14,male,Cardiff,Griffithstown
Cardiff RFC,,United Kingdom,,Evans,1867-01-01,1942-10-14,male,Cardiff,Griffithstown
Wales national rugby union team,,United Kingdom,,Evans,1867-01-01,1942-10-14,male,Cardiff,Griffithstown
Cardiff RFC,,United Kingdom of Great Britain and Ireland,,Evans,1867-01-01,1942-10-14,male,Cardiff,Griffithstown
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,,Evans,1867-01-01,1942-10-14,male,Cardiff,Griffithstown
Oxford University RFC,prop,Wales,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Llanelli RFC,prop,Wales,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
London Welsh RFC,prop,Wales,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Cardiff RFC,prop,Wales,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Swansea RFC,prop,Wales,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Wales national rugby union team,prop,Wales,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Oxford University RFC,prop,United Kingdom,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Llanelli RFC,prop,United Kingdom,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
London Welsh RFC,prop,United Kingdom,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Cardiff RFC,prop,United Kingdom,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Swansea RFC,prop,United Kingdom,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Wales national rugby union team,prop,United Kingdom,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Oxford University RFC,prop,United Kingdom of Great Britain and Ireland,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Llanelli RFC,prop,United Kingdom of Great Britain and Ireland,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
London Welsh RFC,prop,United Kingdom of Great Britain and Ireland,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Cardiff RFC,prop,United Kingdom of Great Britain and Ireland,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Swansea RFC,prop,United Kingdom of Great Britain and Ireland,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,,Davies,1885-09-05,1976-07-18,male,Aberaeron,Los Angeles
Pill Harriers RFC,centre,Wales,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wales national rugby league team,centre,Wales,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wigan Warriors,centre,Wales,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wales national rugby union team,centre,Wales,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Pill Harriers RFC,centre,United Kingdom,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wales national rugby league team,centre,United Kingdom,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Wigan Warriors,centre,United Kingdom,Jerry,,1892-08-12,1947-06-30,male,Newport,Newport
Barbarians,flanker,Wales,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Glamorgan Police RFC,flanker,United Kingdom,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Halifax RLFC,flanker,United Kingdom,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Neath RFC,flanker,United Kingdom,Brian,Sparks,1931-06-23,2013-06-30,male,Llanharan,Bridgend
Swansea RFC,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national rugby union team,prop,United Kingdom,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Glynneath RFC,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Great Britain national rugby league team,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
York City Knights,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national rugby league team,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Neath RFC,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Leeds Rhinos,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Swansea RFC,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,Dai,Prosser,1912-10-13,1973-05-06,male,Neath,York
Cross Keys RFC,,Wales,,,1964-09-23,,male,Abercarn,
Swansea RFC,,Wales,,,1964-09-23,,male,Abercarn,
Wales national rugby league team,,Wales,Damien,,1981-02-05,,male,Wales,
Llanelli RFC,,Wales,Dan,George,1986-08-10,,male,Wales,
Scarlets,,Wales,Dan,George,1986-08-10,,male,Wales,
Wales national under-20 rugby union team,prop,Wales,Dan,Thomas,1993-10-11,,male,Carmarthen,
Scarlets,prop,Wales,Dan,Thomas,1993-10-11,,male,Carmarthen,
Dragons,fly-half,Wales,Daniel,Griffiths,1979-02-01,,male,Carmarthen,
Neath RFC,flanker,Wales,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Leeds Rhinos,flanker,Wales,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Wales national rugby union team,flanker,Wales,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Neath RFC,flanker,United Kingdom,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Leeds Rhinos,flanker,United Kingdom,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Wales national rugby union team,flanker,United Kingdom,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Neath RFC,flanker,United Kingdom of Great Britain and Ireland,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Leeds Rhinos,flanker,United Kingdom of Great Britain and Ireland,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Daniel,,1900-07-07,1971-05-19,male,Llanharan,Leeds
Leigh Centurions,lock,Wales,Danny,Harris,1937-05-27,,male,Penygraig,
Cardiff RFC,lock,Wales,Danny,Harris,1937-05-27,,male,Penygraig,
Wales national rugby union team,lock,Wales,Danny,Harris,1937-05-27,,male,Penygraig,
Pontypridd RFC,lock,Wales,Danny,Harris,1937-05-27,,male,Penygraig,
Leigh Centurions,lock,United Kingdom,Danny,Harris,1937-05-27,,male,Penygraig,
Cardiff RFC,lock,United Kingdom,Danny,Harris,1937-05-27,,male,Penygraig,
Wales national rugby union team,lock,United Kingdom,Danny,Harris,1937-05-27,,male,Penygraig,
Pontypridd RFC,lock,United Kingdom,Danny,Harris,1937-05-27,,male,Penygraig,
Liverpool Stanley,fly-half,Wales,Danny,Wilson,1955-01-01,,male,Wales,
Blackpool Borough,fly-half,Wales,Danny,Wilson,1955-01-01,,male,Wales,
Widnes Vikings,fly-half,Wales,Danny,Wilson,1955-01-01,,male,Wales,
Swinton Lions,fly-half,Wales,Danny,Wilson,1955-01-01,,male,Wales,
Wales national rugby league team,fly-half,Wales,Danny,Wilson,1955-01-01,,male,Wales,
Liverpool Stanley,fly-half,United Kingdom,Danny,Wilson,1955-01-01,,male,Wales,
Blackpool Borough,fly-half,United Kingdom,Danny,Wilson,1955-01-01,,male,Wales,
Widnes Vikings,fly-half,United Kingdom,Danny,Wilson,1955-01-01,,male,Wales,
Swinton Lions,fly-half,United Kingdom,Danny,Wilson,1955-01-01,,male,Wales,
Wales national rugby league team,fly-half,United Kingdom,Danny,Wilson,1955-01-01,,male,Wales,
Ospreys,,Wales,Richard,,1984-04-12,,male,Bedlinog,
Pontypridd RFC,,Wales,Richard,,1984-04-12,,male,Bedlinog,
Dragons,,Wales,Richard,,1984-04-12,,male,Bedlinog,
Wales national rugby union team (sevens),,Wales,Richard,Mustoe,1981-12-09,,male,Bridgend,
Ospreys,,Wales,Richard,Mustoe,1981-12-09,,male,Bridgend,
Dragons,,Wales,Richard,Mustoe,1981-12-09,,male,Bridgend,
Wales national rugby union team (sevens),,United Kingdom,Richard,Mustoe,1981-12-09,,male,Bridgend,
Ospreys,,United Kingdom,Richard,Mustoe,1981-12-09,,male,Bridgend,
Dragons,,United Kingdom,Richard,Mustoe,1981-12-09,,male,Bridgend,
Cardiff RFC,scrum-half,Wales,Richard,Smith,1973-06-06,,male,Pontypool,
Wales national rugby union team,scrum-half,Wales,Richard,Smith,1973-06-06,,male,Pontypool,
Cardiff RFC,scrum-half,United Kingdom,Richard,Smith,1973-06-06,,male,Pontypool,
Wales national rugby union team,scrum-half,United Kingdom,Richard,Smith,1973-06-06,,male,Pontypool,
Wales national under-20 rugby union team,number 8,Wales,Richie,Pugh,1983-08-10,,male,Swansea,
Wales national under-18 rugby union team,number 8,Wales,Richie,Pugh,1983-08-10,,male,Swansea,
Ospreys,number 8,Wales,Richie,Pugh,1983-08-10,,male,Swansea,
Wales national rugby union team,number 8,Wales,Richie,Pugh,1983-08-10,,male,Swansea,
Scarlets,number 8,Wales,Richie,Pugh,1983-08-10,,male,Swansea,
Wales national under-20 rugby union team,number 8,United Kingdom,Richie,Pugh,1983-08-10,,male,Swansea,
Wales national under-18 rugby union team,number 8,United Kingdom,Richie,Pugh,1983-08-10,,male,Swansea,
Ospreys,number 8,United Kingdom,Richie,Pugh,1983-08-10,,male,Swansea,
Wales national rugby union team,number 8,United Kingdom,Richie,Pugh,1983-08-10,,male,Swansea,
Scarlets,number 8,United Kingdom,Richie,Pugh,1983-08-10,,male,Swansea,
Llanelli RFC,prop,Wales,Ricky,Evans,1960-06-23,,male,Aberporth,
Wales national rugby union team,prop,Wales,Ricky,Evans,1960-06-23,,male,Aberporth,
Llanelli RFC,prop,United Kingdom,Ricky,Evans,1960-06-23,,male,Aberporth,
Wales national rugby union team,prop,United Kingdom,Ricky,Evans,1960-06-23,,male,Aberporth,
Cardiff RFC,flanker,Wales,Rob,,1972-12-09,,male,Haverfordwest,
Swansea RFC,flanker,Wales,Rob,,1972-12-09,,male,Haverfordwest,
Wales national rugby union team,flanker,Wales,Rob,,1972-12-09,,male,Haverfordwest,
Barbarians,flanker,Wales,Rob,,1972-12-09,,male,Haverfordwest,
Cardiff RFC,flanker,United Kingdom,Rob,,1972-12-09,,male,Haverfordwest,
Swansea RFC,flanker,United Kingdom,Rob,,1972-12-09,,male,Haverfordwest,
Wales national rugby union team,flanker,United Kingdom,Rob,,1972-12-09,,male,Haverfordwest,
Barbarians,flanker,United Kingdom,Rob,,1972-12-09,,male,Haverfordwest,
London Welsh RFC,,Wales,Robert,Lewis,1987-11-20,,male,Abergavenny,
Dragons,,Wales,Robert,Lewis,1987-11-20,,male,Abergavenny,
Wales national rugby league team,number 8,Wales,Robert,,1943-11-16,,male,Port Talbot,
Warrington Wolves,number 8,Wales,Robert,,1943-11-16,,male,Port Talbot,
St Helens RLFC,number 8,Wales,Robert,,1943-11-16,,male,Port Talbot,
Wales national rugby union team,number 8,Wales,Robert,,1943-11-16,,male,Port Talbot,
Aberavon RFC,number 8,Wales,Robert,,1943-11-16,,male,Port Talbot,
Wales national rugby league team,number 8,United Kingdom,Robert,,1943-11-16,,male,Port Talbot,
Warrington Wolves,number 8,United Kingdom,Robert,,1943-11-16,,male,Port Talbot,
St Helens RLFC,number 8,United Kingdom,Robert,,1943-11-16,,male,Port Talbot,
Wales national rugby union team,number 8,United Kingdom,Robert,,1943-11-16,,male,Port Talbot,
Aberavon RFC,number 8,United Kingdom,Robert,,1943-11-16,,male,Port Talbot,
Pontypool RFC,,Wales,Roger,,1945-01-01,2010-03-01,male,Wales,
Halifax RLFC,fullback,Wales,Ronald,James,,,male,Wales,
Maesteg RFC,fullback,Wales,Ronald,James,,,male,Wales,
Bridgend Ravens,,Wales,Rory,Pitman,1989-10-06,,male,Bridgend,
Wales national rugby union team,scrum-half,Wales,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Great Britain national rugby league team,scrum-half,United Kingdom,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Wales national rugby league team,scrum-half,United Kingdom,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Llanelli RFC,scrum-half,United Kingdom,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
St Helens RLFC,scrum-half,United Kingdom,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Wales national rugby union team,scrum-half,United Kingdom,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Ospreys,,Wales,Jonny,Vaughton,1982-01-21,,male,Wales,
Blackheath F.C.,,Wales,Joseph,,1879-07-21,1965-08-28,male,Abergavenny,
Barbarians,,Wales,Joseph,,1879-07-21,1965-08-28,male,Abergavenny,
South Africa national rugby union team,,Wales,Joseph,,1879-07-21,1965-08-28,male,Abergavenny,
Blackheath F.C.,,South Africa,Joseph,,1879-07-21,1965-08-28,male,Abergavenny,
Barbarians,,South Africa,Joseph,,1879-07-21,1965-08-28,male,Abergavenny,
South Africa national rugby union team,,South Africa,Joseph,,1879-07-21,1965-08-28,male,Abergavenny,
Wales national rugby league team,flanker,Wales,Karl,,1975-06-09,,male,Bridgend,
Pontypridd RFC,,Wales,,Jenkins,1987-02-17,,male,Rhondda,
Dragons,,Wales,,Jenkins,1987-02-17,,male,Rhondda,
Salford Red Devils,fly-half,Wales,Ken,Richards,1934-01-29,1972-01-08,male,Bridgend,Bridgend
Wales national rugby union team,fly-half,Wales,Ken,Richards,1934-01-29,1972-01-08,male,Bridgend,Bridgend
Salford Red Devils,fly-half,United Kingdom,Ken,Richards,1934-01-29,1972-01-08,male,Bridgend,Bridgend
Wales national rugby union team,fly-half,United Kingdom,Ken,Richards,1934-01-29,1972-01-08,male,Bridgend,Bridgend
Great Britain national rugby league team,winger,Wales,,Jones,1969-11-24,,male,Neath,
Neath RFC,winger,Wales,,Jones,1969-11-24,,male,Neath,
Wigan Warriors,winger,Wales,,Jones,1969-11-24,,male,Neath,
Cardiff RFC,winger,Wales,,Jones,1969-11-24,,male,Neath,
Wales national rugby union team,winger,Wales,,Jones,1969-11-24,,male,Neath,
Barbarians,winger,Wales,,Jones,1969-11-24,,male,Neath,
Great Britain national rugby league team,winger,United Kingdom,,Jones,1969-11-24,,male,Neath,
Neath RFC,winger,United Kingdom,,Jones,1969-11-24,,male,Neath,
Wigan Warriors,winger,United Kingdom,,Jones,1969-11-24,,male,Neath,
Cardiff RFC,winger,United Kingdom,,Jones,1969-11-24,,male,Neath,
Wales national rugby union team,winger,United Kingdom,,Jones,1969-11-24,,male,Neath,
Barbarians,winger,United Kingdom,,Jones,1969-11-24,,male,Neath,
Workington Town,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Treorchy RFC,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Great Britain national rugby league team,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Wales national rugby league team,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Warrington Wolves,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Pontypool RFC,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Maesteg RFC,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Cardiff RFC,,Wales,Kevin,Ellis,1965-05-29,,male,Bridgend,
Workington Town,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Treorchy RFC,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Great Britain national rugby league team,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Wales national rugby league team,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Warrington Wolves,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Pontypool RFC,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Maesteg RFC,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Cardiff RFC,,Australia,Kevin,Ellis,1965-05-29,,male,Bridgend,
Dragons,,Wales,Kieran,Crawford,1982-07-13,,male,Newport,
Wales national under-20 rugby union team,winger,Wales,Kristian,Phillips,1990-09-02,,male,Neath,
Wales national under-18 rugby union team,winger,Wales,Kristian,Phillips,1990-09-02,,male,Neath,
Neath RFC,winger,Wales,Kristian,Phillips,1990-09-02,,male,Neath,
Ospreys,winger,Wales,Kristian,Phillips,1990-09-02,,male,Neath,
Scarlets,winger,Wales,Kristian,Phillips,1990-09-02,,male,Neath,
Neath RFC,centre,Wales,Leigh,Davies,1976-02-20,,male,Neath,
Llanelli RFC,centre,Wales,Leigh,Davies,1976-02-20,,male,Neath,
Cardiff RFC,centre,Wales,Leigh,Davies,1976-02-20,,male,Neath,
Wales national rugby union team,centre,Wales,Leigh,Davies,1976-02-20,,male,Neath,
Neath RFC,centre,United Kingdom,Leigh,Davies,1976-02-20,,male,Neath,
Llanelli RFC,centre,United Kingdom,Leigh,Davies,1976-02-20,,male,Neath,
Cardiff RFC,centre,United Kingdom,Leigh,Davies,1976-02-20,,male,Neath,
Wales national rugby union team,centre,United Kingdom,Leigh,Davies,1976-02-20,,male,Neath,
Newbridge RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Wales national rugby league team,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Birmingham & Solihull R.F.C.,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Pontypool RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Cross Keys RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
London Welsh RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Maesteg RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Pontypridd RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Aberavon RFC,winger,Wales,Lenny,Woodard,1976-04-02,,male,Croesyceiliog,
Wales national rugby league team,fly-half,Wales,Leonard,Constance,1922-01-01,1990-01-01,male,Pontypool,Wales
Wigan Warriors,fly-half,Wales,Leonard,Constance,1922-01-01,1990-01-01,male,Pontypool,Wales
St Helens RLFC,fly-half,Wales,Leonard,Constance,1922-01-01,1990-01-01,male,Pontypool,Wales
Bristol Bears,fly-half,Wales,Leonard,Constance,1922-01-01,1990-01-01,male,Pontypool,Wales
Oldham Roughyeds,prop,Wales,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Neath RFC,prop,Wales,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Wales national rugby union team,prop,Wales,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Oldham Roughyeds,prop,United Kingdom,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Neath RFC,prop,United Kingdom,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Wales national rugby union team,prop,United Kingdom,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Oldham Roughyeds,prop,United Kingdom of Great Britain and Ireland,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Neath RFC,prop,United Kingdom of Great Britain and Ireland,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Wales national rugby union team,prop,United Kingdom of Great Britain and Ireland,Les,Anthony,1921-11-21,2010-10-30,male,Rhiwfawr,
Neath RFC,,Wales,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Cardiff RFC,,Wales,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Wales national rugby union team,,Wales,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Neath RFC,,United Kingdom,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Cardiff RFC,,United Kingdom,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Wales national rugby union team,,United Kingdom,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Neath RFC,,United Kingdom of Great Britain and Ireland,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Cardiff RFC,,United Kingdom of Great Britain and Ireland,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Wales national rugby union team,,United Kingdom of Great Britain and Ireland,Lewis,,1865-08-06,1928-04-14,male,Merthyr Tydfil,Neath
Wales national rugby league team,winger,Wales,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Great Britain national rugby league team,winger,Wales,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Wales national rugby league team,winger,United Kingdom,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Great Britain national rugby league team,winger,United Kingdom,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Wales national rugby league team,winger,United Kingdom of Great Britain and Ireland,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Great Britain national rugby league team,winger,United Kingdom of Great Britain and Ireland,Frank,Evans,1897-04-03,1972-11-30,male,"Dafen, Carmarthenshire",Llanelli
Wales national rugby league team,hooker,Wales,Frank,Osmond,1920-01-01,1973-01-01,male,Newport,
Great Britain national rugby league team,hooker,Wales,Frank,Osmond,1920-01-01,1973-01-01,male,Newport,
Wales national rugby league team,hooker,United Kingdom,Frank,Osmond,1920-01-01,1973-01-01,male,Newport,
Great Britain national rugby league team,hooker,United Kingdom,Frank,Osmond,1920-01-01,1973-01-01,male,Newport,
Wales national rugby league team,hooker,United Kingdom of Great Britain and Ireland,Frank,Osmond,1920-01-01,1973-01-01,male,Newport,
Great Britain national rugby league team,hooker,United Kingdom of Great Britain and Ireland,Frank,Osmond,1920-01-01,1973-01-01,male,Newport,
Cardiff RFC,,Wales,Frank,Wilson,1944-04-05,,male,Cardiff,
St Helens RLFC,,Wales,Frank,Wilson,1944-04-05,,male,Cardiff,
Warrington Wolves,,Wales,Frank,Wilson,1944-04-05,,male,Cardiff,
Wales national rugby league team,,Wales,Frank,Wilson,1944-04-05,,male,Cardiff,
Salford Red Devils,,Wales,Frank,Wilson,1944-04-05,,male,Cardiff,
Workington Town,,Wales,Frank,Wilson,1944-04-05,,male,Cardiff,
Wales national rugby union team,fullback,Wales,Fred,Samuel,1897-01-08,1941-01-01,male,Llanelli,
Hull F.C.,fullback,Wales,Fred,Samuel,1897-01-08,1941-01-01,male,Llanelli,
Llanelli RFC,fullback,Wales,Fred,Samuel,1897-01-08,1941-01-01,male,Llanelli,
